% Model:              new_broken_cubic.mph
% Version:            COMSOL 6.2.0.339
% Date:               Feb 20 2026, 14:58
% Dimension:          1
% Nodes:              97
% Expressions:        1
% Description:        Global
% freq (Hz)               Value
80                        0.0056483554997837065
100                       0.008341664717816841
120                       0.011376940337457139
140                       0.014793869577005457
160                       0.018740575074019106
180                       0.02349578627999069
200                       0.029506066348763734
220                       0.037448094942849564
240                       0.048321002427526225
260                       0.06355557618309512
280                       0.08506981641402146
300                       0.11505886663924884
320                       0.1550848481128343
340                       0.2040809156648359
360                       0.25621017469865204
380                       0.3019145557838743
400                       0.33375948661578714
420                       0.35130571148021367
440                       0.35954876745657094
460                       0.36441996735851057
480                       0.37026152446751076
500                       0.3796013063136904
520                       0.3937353976196771
540                       0.4132392917541758
560                       0.4381882798352417
580                       0.4681164214698714
600                       0.5018320244438534
620                       0.5372968691184987
640                       0.5718331775478845
660                       0.6027816894250323
680                       0.6283522914166482
700                       0.6481323882374438
720                       0.6629511347684012
740                       0.6743197136048924
760                       0.6838839536779749
780                       0.6931211117433618
800                       0.7032464211005768
820                       0.7152071002984939
840                       0.7296892484562923
860                       0.7471266234955206
880                       0.767723025849795
900                       0.7914860740047212
920                       0.818245128260139
940                       0.8476186666106428
960                       0.8789288643717547
980                       0.911126179470527
1000                      0.94283095743637
1020                      0.9725589947454419
1040                      0.9990770170397483
1060                      1.0217265787252001
1080                      1.0405597658968062
1100                      1.0562420625727607
1120                      1.0697967875103178
1140                      1.0823082241433035
1160                      1.0946687066455247
1180                      1.1074027524966064
1200                      1.1205738512470946
1220                      1.133784574536274
1240                      1.1462913914155388
1260                      1.1572308228475146
1280                      1.165883397924329
1300                      1.1718477454440526
1320                      1.1750418955671666
1340                      1.1755750395359286
1360                      1.1736176304567763
1380                      1.169363863548995
1400                      1.163080202328602
1420                      1.1551647759930253
1440                      1.1461483524630458
1460                      1.1366212835370142
1480                      1.1271201020468775
1500                      1.1180225062678024
1520                      1.109485773873538
1540                      1.101441700890852
1560                      1.0936442373272843
1580                      1.0857557181076283
1600                      1.0774510236220831
1620                      1.0685149968400798
1640                      1.0589091146121492
1660                      1.0487914427276317
1680                      1.0384881822207166
1700                      1.0284296208045836
1720                      1.0190713870541557
1740                      1.010821269828528
1760                      1.0039852208448026
1780                      0.9987381377703523
1800                      0.9951189256901627
1820                      0.9930458140474188
1840                      0.9923458060133917
1860                      0.9927904620381726
1880                      0.9941295750622565
1900                      0.9961161648790942
1920                      0.9985205329504878
1940                      1.0011353087176373
1960                      1.0037748886233104
1980                      1.0062716402679885
2000                      1.008470093313108
